,brand,image,ingredient,name,price,category
22,싸이닉,https://contents.lotteon.com/itemimage/LB/PD/10/02/17/39/_3/28/35/LBPD10021739_32835_1.jpg/dims/resizef/554X554,"정제수, 다이프로필렌글라이콜, 병풀추출물(55,800 ppm), 1,2-헥산다이올, 글리세린, 하이드롤라이즈드하이알루로닉애씨드(405 ppm), 소듐하이알루로네이트(50 ppm), 하이드록시프로필트라이모늄하이알루로네이트(5 ppm), 소듐하이알루로네이트크로스폴리머(1 ppm), 소듐아세틸레이티드하이알루로네이트(0.5 ppm), 빙하수, 부틸렌글라이콜, 카보머, 트로메타민, 베타인, 카프릴릴글라이콜, 암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머, 다이소듐이디티에이, 폴리글리세릴-10미리스테이트, 하이드록시아세토페논, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실팔미테이트, 세틸에틸헥사노에이트",[1+1] 히아루론산 수딩젤 150ml [업체배송],"11,900원",스킨케어
23,토니모리,https://contents.lotteon.com/itemimage/LB/PD/10/02/16/16/_3/26/18/LBPD10021616_32618_1.jpg/dims/resizef/554X554,컨텐츠참조,더촉촉 그린티 수분 에센스 55ml,"11,550원",스킨케어
24,닥터락토,https://contents.lotteon.com/itemimage/LB/PD/10/02/15/28/_3/25/09/LBPD10021528_32509_1.jpg/dims/resizef/554X554,"병풀추출물, 다이카프릴릴카보네이트, 메틸프로판다이올, 글리세린, 폴리글리세린-3, 베타인, 바실러스발효물, 락토바실러스발효물, 락토바실러스발효용해물, 락토코쿠스발효용해물, 비피다발효여과물, 비피다발효용해물, 효모발효여과물, 세라마이드엔피, 에델바이스캘러스배양추출물, 울금뿌리추출물, 인삼추출물, 포도세포추출물, 베타-글루칸, 다시마추출물, 한련초잎추출물, 귀리커넬추출물, 봉의꼬리추출물, 아티초크잎추출물, 올리브오일, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 분비나무오일, 정제수, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10미리스테이트, 폴리메틸실세스퀴옥세인, 카보머, 부틸렌글라이콜, 트로메타민, 만니톨, 옥수수전분, 마이크로크리스탈린셀룰로오스, 다이소듐이디티에이, 폴리쿼터늄-51, 프룩토올리고사카라이드, 하이드롤라이즈드하이알루로닉애씨드, 1,2-헥산다이올, 에틸헥실글리세린",SOS 카밍 크림 80ml,"16,800원",스킨케어
25,플라센타 베제딸,https://contents.lotteon.com/itemimage/LB/PD/10/00/17/95/_2/65/6/LBPD10001795_2656_1.jpg/dims/resizef/554X554,"정제수, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-6다이스테아레이트, 글리세린, 살구씨오일, 하이드롤라이즈드콩단백질, 실리카, 마이크로크리스탈린셀룰로오스, 벤질알코올, 마이카, 부틸렌글라이콜, 세틸알코올, 너도밤나무싹추출물, 향료(천연향료), 셀룰로오스검, 하이드록시아파타이트, 오리스뿌리추출물, 징크피씨에이, 헥실신나몰, 데하이드로아세틱애씨드, 징크옥사이드, 부틸페닐메틸프로피오날, 토코페롤, 페녹시에탄올, 리날룰, 해바라기씨오일, 벤질벤조에이트, 리모넨, 유제놀, 벤조익애씨드, 돌콩오일, 시트로넬올, 소르빅애씨드, 알파-아이소메틸아이오논, 벤질살리실레이트",모이스처 플루이드 40ml,"8,900원",스킨케어
26,라끄베르,https://contents.lotteon.com/itemimage/LB/PD/10/00/13/56/_3/38/4/LBPD10001356_3384_1.jpg/dims/resizef/554X554,"올리브오일, 카프릴릭/카트릭트리글리세라이드, 피이지-20글리세릴이소스테아레이트, 펜타에리스리틸테트라에칠헥사노에이트, 디펜타에리스틸헥사C5-9애시드에스터, 기름야자오일, 펜틸렌글라이콜, 토코페롤, 로즈마리잎오일, 정제수, 페녹시에탄올",CK딥클렌징오일,"16,000원",스킨케어
27,스킨천사,https://contents.lotteon.com/itemimage/LB/PD/10/01/97/83/_3/02/52/LBPD10019783_30252_1.jpg/dims/resizef/554X554,"녹차수(71%), 카올린, 벤토나이트, 글리세릴스테아레이트에스이, 글리세린, 1,2-헥산다이올, 폴리솔베이트20, 판테놀, 마그네슘알루미늄실리케이트, 녹차추출물, 병풀추출물, 알로에베라잎추출물, 녹차가루, 녹차씨오일, 글리세릴스테아레이트, 피이지-100스테아레이트, 잔탄검, 락틱애씨드, 정제수, 하이드록시아세토페논, 다이소듐이디티에이, 그로뮴옥사이드그린, 향료",좀비 뷰티 마녀팩 8입,"13,900원",스킨케어
28,에스엔피,https://contents.lotteon.com/itemimage/LB/PD/10/02/05/10/_3/11/66/LBPD10020510_31166_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 프로판다이올, 글리세레스-26, 타임잎추출물, 병풀추출물, 약모밀추출물, 쇠비름추출물, 베타-글루칸, 트루로즈오브예리코추출물, 세라마이드엔피, 1,2-헥산다이올, 헥실렌글라이콜, 하이드록시아세토페논, 하이드록시에틸셀룰로오스, 트레할로오스, 잔탄검, C12-13파레스-9, 알지닌, 카보머, 다이포타슘글리시리제이트, 소듐파이테이트, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 다이프로필렌글라이콜, 하이드로제네이티드레시틴, 콜레스테롤, 향료",퓨어 플레인 하이드레이팅 마스크 1매,"1,500원",스킨케어
29,블리블리,https://contents.lotteon.com/itemimage/LB/PD/10/02/24/28/_3/37/09/LBPD10022428_33709_1.jpg/dims/resizef/554X554,"정제수, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드, 세틸에틸헥사노에이트, 스쿠알란, 올리브오일, 누에고치추출물 (900ppm), 하이드롤라이즈드실크 (300 ppm), 하이드롤라이즈드우유단백질 (300 ppm), 하이드롤라이즈드케라틴, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 베타인, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 발린, 트레오닌, 프롤린, 아이소류신, 히스티딘, 메티오닌, 시스테인, 아이비고드열매추출물, 참산호말추출물, 황련뿌리추출물, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 퀸즈랜드넛오일, 하이드로제네이티드레시틴,소듐하이알루로네이트 , 글리세린, 다이프로필렌글라이콜, 세테아릴에틸헥사노에이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 에틸헥실팔미테이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 에틸헥실글리세린, 부틸렌글라이콜, 카라멜, 아데노신, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 소듐카보머, 향료",단백질 실크 스킨 앰플 35 ml,"21,000원",스킨케어
30,플로랑스네이처,https://contents.lotteon.com/itemimage/LB/PD/10/00/70/85/_1/11/36/LBPD10007085_11136_1.jpg/dims/resizef/554X554,"정제수, 코코넛야자오일, C10-18트라이글리세라이즈, 글리세린, 로얄젤리, 메틸헵틸아이소스테아레이트, 글리세릴스테아레이트시트레이트, 펜틸렌글라이콜, 세테아릴알코올, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 잔탄검, 하이드롤라이즈드하이알루로닉애씨드, 향료, 소듐벤조에이트, 벤조익애씨드, 해바라기씨오일, 소듐하이알루로네이트, 토코페롤, 레시틴, 배더락스추출물,  아데노신, 리날룰, 소듐하이드록사이드, 시팀우드검추출물, 리모넨, 유제놀, 포타슘솔베이트, 시트릭애씨드,99%자연유래성분",컴포팅 안티 링클 나이트크림 50ml,"24,900원",스킨케어
31,에스엔피,https://contents.lotteon.com/itemimage/LB/PD/10/02/02/24/_3/08/40/LBPD10020224_30840_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 부틸렌글라이콜, 글리세레스-26, 프로판다이올, 1,2-헥산다이올, 다이프로필렌글라이콜, 병풀잎추출물, 병풀추출물, 소듐하이알루로네이트, 마데카소사이드, 글리세레스-25피씨에이아이소스테아레이트, 에틸헥실글리세린, 카보머, 향료, 트로메타민, 잔탄검, 다이소듐이디티에이, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 판테놀, 인도멀구슬나무잎추출물, 야생딸기잎추출물, 인도멀구슬나무꽃추출물, 마조람잎추출물, 로즈마리잎추출물, 살비아잎추출물, 타임잎추출물, 마트리카리아꽃추출물, 라벤더꽃추출물, 레몬밤잎추출물",프렙 시카로닉 SOS  앰플 [업체배송],"18,000원",스킨케어
